agency_ref,name,address1,address2,city,state,county_name,zip,phone,email,tefap,latitude,longitude,Date_of_Last_SO,TEFAP_Auto_Eligible,TEFAP_Income_Levels,ObjectId,Day of week,Hours,ByAppointmentOnly,ResidentsOnly,Notes,Reqs,start1,start2,start3,end1,end2,end3,Frequency,Additional_Notes,Start_Time,End_Time
14030-PART-01,So Others Might Eat,71 O ST NW,,Washington,DC,DC Ward 5,20002,(202) 235-1472,dking@some.org,TEFAP Available,38.90825,-77.011103,2025-03-07,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,2,Monday,9:00 AM to 11:00 AM; Every week,No,No,, ,9:00:00,12:00:00,,11:00:00,14:00:00,,Every week,,09:00:00,11:00:00
14030-PART-01,So Others Might Eat,71 O ST NW,,Washington,DC,DC Ward 5,20002,(202) 235-1472,dking@some.org,TEFAP Available,38.90825,-77.011103,2025-03-07,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,2,Monday,12:00 PM to 2:00 PM; Every week (Note: Not open to public.),,Yes, (Note: Not open to public.), ,9:00:00,12:00:00,,11:00:00,14:00:00,,Every week,Note: Not open to public.,12:00:00,14:00:00
22737-PART-01,The Family Place,3309 16th St NW,,Washington DC,DC,DC Ward 1,20010,(202) 265-0149,iargueta@thefamilyplacedc.org,Non-TEFAP,38.93193,-77.036,2025-04-09,N/A,N/A,9,Monday,9:00 AM to 4:00 PM; Every week (Note: We always have emergency food bags!),No,No, (Note: We always have emergency food bags!), ,9:00:00,,,16:00:00,,,Every week,Note: We always have emergency food bags!,09:00:00,16:00:00
19776-PART-01,Friends Of Douglass Community Center,1922 Frederick Douglass Court SE,,Washington,DC,DC Ward 8,20020,(202) 285-5354,friendsofdouglasscc@gmail.com,TEFAP Available,38.847716,-76.980882,2025-04-17,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,12,Monday,12:00 PM to 6:00 PM; Every week,No,No,None, ,12:00:00,,,18:00:00,,,Every week,,12:00:00,18:00:00
14540-PART-01,Miriam's Kitchen,2401 Virginia Ave NW,,Washington,DC,DC Ward 2,20037,(202) 380-5293,marcus.may@miriamskitchen.org,TEFAP Available,38.898539,-77.051963,2025-03-24,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,18,Monday,7:00 AM to 8:00 AM; Every week,No,No,, ,7:00:00,16:00:00,,8:00:00,17:00:00,,Every week,,07:00:00,08:00:00
14540-PART-01,Miriam's Kitchen,2401 Virginia Ave NW,,Washington,DC,DC Ward 2,20037,(202) 380-5293,marcus.may@miriamskitchen.org,TEFAP Available,38.898539,-77.051963,2025-03-24,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,18,Monday,4:00 PM to 5:00 PM; Every week,,,, ,7:00:00,16:00:00,,8:00:00,17:00:00,,Every week,,16:00:00,17:00:00
14085-PART-01,Ward 7 Food Center of Peace Lutheran Church,4929 Ames St NE,,Washington,DC,DC Ward 7,20019,(202) 398-5504,ward7foodcenter@yahoo.com,TEFAP Available,38.890627,-76.931679,2025-04-15,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,23,Monday,10:30 AM to 2:30 PM; Every week,Yes,No,None, ,10:30:00,,,14:30:00,,,Every week,,10:30:00,14:30:00
19745-PART-01,Chrisma Charities,12805 Georgia Avenue,,Silver Spring,MD,MD Montgomery County,20906,(202) 427-2816,info@chrismacharities.org,TEFAP Available,39.065787,-77.056845,2025-04-18,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,24,Monday,10:00 AM to 12:00 PM; Every week (Note: Participant pick-up/Silver Spring delivery locations),No,No, (Note: Participant pick-up/Silver Spring delivery locations), ,10:00:00,,,12:00:00,,,Every week,Note: Participant pick-up/Silver Spring delivery locations,10:00:00,12:00:00
19035-PART-01,Edward C Mazique Child Care Center,1719 13th St NW,,Washington,DC,DC Ward 2,20009,(202) 462-3375,akeys@ecmpcc.org,Non-TEFAP,38.91328,-77.029282,2025-02-11,N/A,N/A,26,Monday,12:00 PM to 5:00 PM; Every week,No,Yes,None, ,12:00:00,,,17:00:00,,,Every week,,12:00:00,17:00:00
14790-PART-01,Damien Ministries Food Pantry,2200 Rhode Island AVE NE,,Washington,DC,DC Ward 5,20018,(202) 526-3020,carr@damienministries.org,TEFAP Available,38.930425,-76.97395,2025-03-13,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,31,Monday,9:30 AM to 3:30 PM; Every Other Week,Yes,No,None, ,9:30:00,,,15:30:00,,,Every Other Week,,09:30:00,15:30:00
14222-PART-01,SevaTruck Foundation,2815 Old Lee Hwy Fairfax,,Fairfax,VA,VA Fairfax County,22031,(202) 550-3018,info@sevatruck.org,Non-TEFAP,38.927279,-77.194636,2025-03-03,N/A,N/A,36,Monday,"3:00 PM to 5:00 PM; Every week (Note: Braddock ES-7825 Heritage Dr, Annandale, VA 22003)",Yes,No," (Note: Braddock ES-7825 Heritage Dr, Annandale, VA 22003)", ,15:00:00,,,17:00:00,,,Every week,"Note: Braddock ES-7825 Heritage Dr, Annandale, VA 22003",15:00:00,17:00:00
14885-PART-01,Assumption Outreach,220 Highview Place SE,,Washington,DC,DC Ward 8,20032,(202) 561-5941,outreach@assumptiondc.org,TEFAP Available,38.841594,-77.004447,2025-03-19,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,38,Monday,9:00 AM to 12:00 PM; Every week,No,No,None, ,9:00:00,,,12:00:00,,,Every week,,09:00:00,12:00:00
22119-PART-01,Covenant House Greater Washington,2001 Mississippi Ave SE,,Washington,DC,DC Ward 8,20020,(202) 610-9600,cbrown@chdc.org,Non-TEFAP,38.843604,-76.974234,2025-04-17,N/A,N/A,46,Monday,9:00 AM to 4:00 PM; ,No,No,None, ,9:00:00,,,16:00:00,,,,,09:00:00,16:00:00
22120-PART-01,Columbia Heights Village Tenant Association,2900 14th Street NW,Suite 110,Washington,DC,DC Ward 1,20009,(202) 617-8349,Chall@chvta.com,Non-TEFAP,38.927065,-77.032746,2025-03-18,N/A,N/A,47,Monday,12:00 PM to 6:00 PM; Every week,No,No,None, ,12:00:00,,,18:00:00,,,Every week,,12:00:00,18:00:00
21906-PART-01,YWCA National Capital Area,2303 14th Street NW,Suite 100,Washington,DC,DC Ward 1,20009,(202) 626-0710,sgreenhow@ywcanca.org,Non-TEFAP,38.920681,-77.031651,2025-04-02,N/A,N/A,48,Monday,"12:00 PM to 3:00 PM; Every week (Note: To ensure fair access for everyone, each person can only come in once a week.)",No,No," (Note: To ensure fair access for everyone, each person can only come in once a week.)", ,12:00:00,,,15:00:00,,,Every week,"Note: To ensure fair access for everyone, each person can only come in once a week.",12:00:00,15:00:00
14500-PART-01,Central Union Mission,65 Massachusetts Ave,,Washington,DC,DC Ward 6,20001,(202) 718-0549,rsnyder@missiondc.org,TEFAP Available,38.898699,-77.011032,2025-04-17,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,59,Monday,12:30 PM to 6:00 PM; Every week (Note: We serve Breakfast -Lunch-Dinner),No,No, (Note: We serve Breakfast -Lunch-Dinner), ,12:30:00,,,18:00:00,,,Every week,Note: We serve Breakfast -Lunch-Dinner,12:30:00,18:00:00
16815-MOMK-01,James Apartments Resident Council,1425 N St NW,,Washington,DC,DC Ward 2,20005,(202) 803-2225,margosurratt@gmail.com,Non-TEFAP,38.907508,-77.033099,2025-04-07,N/A,N/A,65,Monday,3:00 PM to 5:00 PM; 1st of the Month,No,No,None, ,15:00:00,,,17:00:00,,,1st of the Month,,15:00:00,17:00:00
15390-PART-02,The Salvation Army - Sherman Ave,3335 Sherman Ave. NW,,Washington,DC,DC Ward 1,20010,(202) 829-0100,indrani.bhatnagar@uss.salvationarmy.org,TEFAP Available,38.931589,-77.026384,2025-04-15,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,68,Monday,9:30 AM to 1:30 PM; Every week,No,No,None, ,9:30:00,,,13:30:00,,,Every week,,09:30:00,13:30:00
22629-MOMK-01,Congress Heights Family Success Center,1345 Savannah St SE,,Washington,DC,DC Ward 8,20032,(202) 889-1425,ncavins@fsfsc.org,Non-TEFAP,38.858822,-76.995002,2025-04-21,N/A,N/A,69,Monday,11:00 AM to 2:00 PM; 3rd of the Month,No,No,None, ,11:00:00,,,14:00:00,,,3rd of the Month,,11:00:00,14:00:00
14355-PART-01,Family & Medical Counseling Service,2041 MLK Jr. Ave. SE,Suite 303,Washington,DC,DC Ward 8,20020,(202) 889-7900,ccandella@fmcsinc.org,TEFAP Available,38.86593,-76.989829,2025-04-07,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,70,Monday,1:00 PM to 4:00 PM; 1st and 3rd of the Month,Yes,No,None, ,13:00:00,,,16:00:00,,,1st and 3rd of the Month,,13:00:00,16:00:00
14050-PART-01,Bread for the City SE Center,1700 Good Hope Road SE,,Washington,DC,DC Ward 8,20020,(202) 985-2788,tcollins@breadforthecity.org,TEFAP Available,38.866179,-76.980484,2025-04-21,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,73,Monday,9:00 AM to 3:00 PM; Every week (Note: DC Residents Only),No,No, (Note: DC Residents Only), ,9:00:00,,,15:00:00,,,Every week,Note: DC Residents Only,09:00:00,15:00:00
